Event,contents,front_offset,back_offset,
20190901,한가위맞이프로모션,0,8,
20190101,부자돼지요,0,30,
20190207,주부탈출프로모션,0,3,
20191201,굿바이총결산,0,30,"이미용,주방"
20190924,NS가쏜Day,0,0,"온수매트 8:10, 15:35, 09:40 "
20191101,코리아세일페스타 ,0,21,"쌀, 가전, 가구 제외"
20190303,삼삼데이,0,0,도드람 수육국밥
20190105,에버비키니,0,0,새벽1시
20190310,골드원데이,0,0,"21:40 슬리미 플러스, 23:55 헤어맥스"
