min_temp,max_temp,raining_dur(hr),rain_per_hour,rain_per_day,max_wind,min_Humidity
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.2,-0.6,0.0,0.0,0.0,4.3,34
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
-8.8,0.2,0.0,0.0,0.0,3.6,20
